24/01/2020,1
25/01/2020,1
26/01/2020,
27/01/2020,
28/01/2020,
29/01/2020,
30/01/2020,1
31/01/2020,
01/01/2020,
02/01/2020,
03/01/2020,
04/01/2020,
05/01/2020,
06/01/2020,
07/01/2020,
08/01/2020,
09/01/2020,
10/01/2020,
11/01/2020,
12/01/2020,
13/02/2020,1
14/02/2020,2
15/02/2020,8
16/02/2020,5
17/02/2020,
18/02/2020,3
19/02/2020,3
20/02/2020,
21/02/2020,3
22/02/2020,1
23/02/2020,
24/02/2020,3
25/02/2020,0
26/02/2020,3
27/02/2020,1
28/02/2020,0
29/02/2020,1
01/03/2020,2
02/03/2020,0
03/03/2020,1
04/03/2020,4
05/03/2020,8
06/03/2020,6
07/03/2020,6
08/03/2020,
09/03/2020,
10/03/2020,3
11/03/2020,6
12/03/2020,2
13/03/2020,2
14/03/2020,10
15/03/2020,3
16/03/2020,
17/03/2020,12
18/03/2020,9
19/03/2020,7
20/03/2020,11
21/03/2020,7
22/03/2020,2
23/03/2020,16
24/03/2020,17
25/03/2020,41
26/03/2020,47
27/03/2020,40
28/03/2020,63
29/03/2020,68
30/03/2020,13
31/03/2020,78
01/04/2020,66
02/04/2020,97
03/04/2020,89
04/04/2020,116
05/04/2020,143
06/04/2020,83
07/04/2020,79
08/04/2020,144
09/04/2020,178
10/04/2020,188
11/04/2020,197
12/04/2020,166
13/04/2020,91
14/04/2020,161
15/04/2020,126
16/04/2020,148
17/04/2020,201
18/04/2020,181
19/04/2020,107
20/04/2020,102
21/04/2020,123
22/04/2020,132
23/04/2020,134
24/04/2020,161
25/04/2020,103
26/04/2020,72
27/04/2020,39
28/04/2020,112
29/04/2020,47
30/04/2020,46
01/05/2020,165
02/05/2020,159
03/05/2020,91
04/05/2020,87
05/05/2020,58
06/05/2020,38
07/05/2020,23
08/05/2020,39
09/05/2020,36
10/05/2020,22
11/05/2020,15
12/05/2020,28
13/05/2020,10
14/05/2020,30
15/05/2020,9
16/05/2020,14
